method,pdt,repl,type,mrae
trmf,0.2,34,o,9.439779383330685e-05
trmf,0.2,35,overall,0.257572926074651
trmf,0.2,35,w,0.463990638641793
trmf,0.2,35,o,9.511520496997113e-05
trmf,0.2,36,overall,0.2615829683515373
trmf,0.2,36,w,0.471334819976801
trmf,0.2,36,o,0.00010086091918593877
trmf,0.2,37,overall,0.26000350809723477
trmf,0.2,37,w,0.4684770466503073
trmf,0.2,37,o,8.859125383704857e-05
trmf,0.2,38,overall,0.2580624535514394
trmf,0.2,38,w,0.46529108566987804
trmf,0.2,38,o,9.509277942581126e-05
trmf,0.2,39,overall,0.2615464235864938
trmf,0.2,39,w,0.470643824370398
trmf,0.2,39,o,8.81916968556704e-05
trmf,0.2,4,overall,0.26986144283551056
trmf,0.2,4,w,0.48632770544566023
trmf,0.2,4,o,8.30614461318121e-05
trmf,0.2,40,overall,0.2604142391031169
trmf,0.2,40,w,0.4690999343175812
trmf,0.2,40,o,8.575418162807004e-05
trmf,0.2,41,overall,0.2610875229521885
trmf,0.2,41,w,0.4703055187028752
trmf,0.2,41,o,9.066397345979534e-05
trmf,0.2,42,overall,0.2639106758631993
trmf,0.2,42,w,0.47544342630101516
trmf,0.2,42,o,9.736813155181609e-05
trmf,0.2,43,overall,0.26860372338978994
trmf,0.2,43,w,0.48365976633085367
trmf,0.2,43,o,9.008450502440694e-05
trmf,0.2,44,overall,0.26403262555922935
trmf,0.2,44,w,0.47601256449532686
trmf,0.2,44,o,9.448042693226195e-05
trmf,0.2,45,overall,0.26428773775852277
trmf,0.2,45,w,0.4759942558192421
trmf,0.2,45,o,8.703302024826628e-05
trmf,0.2,46,overall,0.25971190426257584
trmf,0.2,46,w,0.46756361885283604
trmf,0.2,46,o,9.084409032125456e-05
trmf,0.2,47,overall,0.2642774176548337
trmf,0.2,47,w,0.47645374977444926
trmf,0.2,47,o,9.693733546843082e-05
trmf,0.2,48,overall,0.25969897604814335
trmf,0.2,48,w,0.46789481283031187
trmf,0.2,48,o,8.880089793638974e-05
