method,pdt,repl,type,mrae
latc,0.2,38,w,0.004222665284902289
latc,0.2,38,o,0.004305213280477901
latc,0.2,39,overall,0.00429287495052198
latc,0.2,39,w,0.004259993182126133
latc,0.2,39,o,0.004333990760637025
latc,0.2,4,overall,0.004364099580248705
latc,0.2,4,w,0.004410726243293247
latc,0.2,4,o,0.004305989528668069
latc,0.2,40,overall,0.0043255725879275545
latc,0.2,40,w,0.004342804775935367
latc,0.2,40,o,0.004304076004794024
latc,0.2,41,overall,0.004310168867292869
latc,0.2,41,w,0.00437570835274603
latc,0.2,41,o,0.0042284091707573
latc,0.2,42,overall,0.004280878089346282
latc,0.2,42,w,0.004248948697013524
latc,0.2,42,o,0.004320698866922008
latc,0.2,43,overall,0.004368123574398433
latc,0.2,43,w,0.004437613667998628
latc,0.2,43,o,0.004281359967834051
latc,0.2,44,overall,0.00439474235036184
latc,0.2,44,w,0.004573723787688862
latc,0.2,44,o,0.004171890938958007
latc,0.2,45,overall,0.004229404192299636
latc,0.2,45,w,0.004132154864070853
latc,0.2,45,o,0.004350767206007126
latc,0.2,46,overall,0.004294075958639471
latc,0.2,46,w,0.004277844368552293
latc,0.2,46,o,0.004314350328928027
latc,0.2,47,overall,0.004379743919175992
latc,0.2,47,w,0.004496252883428458
latc,0.2,47,o,0.004234678756486808
latc,0.2,48,overall,0.004342846520422621
latc,0.2,48,w,0.0043959703302981915
latc,0.2,48,o,0.004276603689635987
latc,0.2,49,overall,0.004357704256528942
latc,0.2,49,w,0.004407838883916997
latc,0.2,49,o,0.00429524722705231
latc,0.2,5,overall,0.004282137318652864
latc,0.2,5,w,0.0042659823869534074
latc,0.2,5,o,0.00430231708150951
latc,0.2,50,overall,0.004279331370317413
latc,0.2,50,w,0.004252408781340575
latc,0.2,50,o,0.004312966318963116
latc,0.2,51,overall,0.00425334968956876
latc,0.2,51,w,0.004193057595406556
latc,0.2,51,o,0.004328769205252547
latc,0.2,52,overall,0.004335295704460613
latc,0.2,52,w,0.004373640815465336
latc,0.2,52,o,0.004287421184848854
latc,0.2,53,overall,0.004347832366870695
latc,0.2,53,w,0.0044137222976849315
latc,0.2,53,o,0.004265695330404009
latc,0.2,54,overall,0.004408258873808865
latc,0.2,54,w,0.00456805899108499
latc,0.2,54,o,0.004209106895181514
latc,0.2,55,overall,0.004285790266975019
latc,0.2,55,w,0.004284889573181716
latc,0.2,55,o,0.00428691421388958
latc,0.2,56,overall,0.004277974592145944
latc,0.2,56,w,0.004248578928639281
latc,0.2,56,o,0.00431465051043641
latc,0.2,57,overall,0.004325674752619915
latc,0.2,57,w,0.0043646726891258675
latc,0.2,57,o,0.004277167093970044
latc,0.2,58,overall,0.004274199955116569
latc,0.2,58,w,0.004249628940180508
latc,0.2,58,o,0.0043048475002053915
latc,0.2,59,overall,0.00438134220875322
latc,0.2,59,w,0.004513393996411753
latc,0.2,59,o,0.004216499146882224
latc,0.2,6,overall,0.004379117237433743
latc,0.2,6,w,0.004495659009173618
latc,0.2,6,o,0.004233833962514322
latc,0.2,60,overall,0.0042663255911256645
latc,0.2,60,w,0.004192507134360147
